Image,Total,High_Realism,Medium_Realism,Low_Realism,Avg_Realism,High_Percent
data/img/img__00088_.png,8,0,8,0,0.496,0.0%
data/img/img__00089_.png,8,0,8,0,0.498,0.0%
data/img/img__00090_.png,8,0,8,0,0.497,0.0%
data/img/img__00091_.png,8,0,8,0,0.498,0.0%
data/img/img__00092_.png,8,0,8,0,0.497,0.0%
data/img/img__00093_.png,8,0,8,0,0.498,0.0%
data/img/img__00094_.png,8,0,8,0,0.501,0.0%
data/img/img__00095_.png,8,0,8,0,0.497,0.0%
data/img/img__00096_.png,8,0,8,0,0.497,0.0%
data/img/img__00097_.png,8,0,8,0,0.498,0.0%
data/img/img__00098_.png,8,0,8,0,0.498,0.0%
data/img/img__00099_.png,8,0,8,0,0.495,0.0%
data/img/img__00100_.png,8,0,8,0,0.497,0.0%
